frame,t,nx,ny,nz,agree_deg
370,577462.966294,0.29324,-0.80664,-0.51316,4.48
371,577462.97486,0.28115,-0.82281,-0.49389,4.78
372,577462.977514,0.26795,-0.83241,-0.48507,4.76
373,577462.980861,0.26781,-0.83702,-0.47715,3.8
374,577462.986098,0.26335,-0.84272,-0.46954,4.13
375,577462.989802,0.26863,-0.85034,-0.45251,3.01
376,577463.00545,0.28792,-0.85109,-0.43903,4.67
377,577463.009879,0.31997,-0.85261,-0.41313,3.44
378,577463.013549,0.33776,-0.85303,-0.39782,4.24
379,577463.022273,0.36621,-0.85747,-0.36143,5.74
380,577463.024957,0.37769,-0.86218,-0.33763,6.43
381,577463.02932,0.39412,-0.86379,-0.3139,5.44
382,577463.033945,0.42101,-0.85363,-0.30669,4.6
383,577463.038137,0.4251,-0.85505,-0.29695,3.92
384,577463.042212,0.41686,-0.85881,-0.2978,3.31
385,577463.049926,0.40114,-0.86143,-0.31148,4.63
386,577463.054323,0.39476,-0.85804,-0.32854,5.25
387,577463.057255,0.39157,-0.85343,-0.344,5.76
388,577463.062492,0.37994,-0.84927,-0.36658,3.58
389,577463.066102,0.37174,-0.83503,-0.40563,3.37
390,577463.074328,0.37199,-0.8307,-0.4142,3.48
391,577463.078082,0.37778,-0.81979,-0.43038,4.2
392,577463.090192,0.40971,-0.80169,-0.43523,5.2
393,577463.098273,0.4191,-0.80247,-0.42472,4.99
394,577463.101314,0.41839,-0.80238,-0.4256,5.3
395,577463.105406,0.40952,-0.80714,-0.42523,4.45
396,577463.108715,0.3938,-0.81043,-0.43373,3.86
397,577463.113772,0.384,-0.81334,-0.43706,4.05
398,577463.117785,0.36521,-0.81045,-0.45804,3.54
399,577463.125613,0.3588,-0.80598,-0.4708,3.19
400,577463.129977,0.3592,-0.81365,-0.45712,3.31
401,577463.132863,0.3644,-0.82117,-0.4392,3.26
402,577463.138103,0.3555,-0.8359,-0.41819,3.1
403,577463.141471,0.34903,-0.84131,-0.41276,3.92
404,577463.149357,0.33472,-0.84685,-0.41328,4.65
405,577463.153697,0.33323,-0.84236,-0.42355,4.92
406,577463.157031,0.32567,-0.83959,-0.43477,4.98
407,577463.173466,0.33333,-0.8189,-0.46722,3.99
408,577463.178386,0.33206,-0.80481,-0.49196,3.16
409,577463.18186,0.35808,-0.78384,-0.50732,4.27
410,577463.185058,0.36402,-0.7843,-0.50237,4.34
411,577463.189626,0.35305,-0.78822,-0.50405,3.91
412,577463.193226,0.3455,-0.793,-0.50177,3.25
413,577463.201232,0.34286,-0.79432,-0.50151,3.42
414,577463.205502,0.33516,-0.79634,-0.50349,4.03
415,577463.209044,0.31697,-0.80313,-0.50449,4.58
416,577463.213673,0.30425,-0.80878,-0.5033,4.8
417,577463.218121,0.29397,-0.81304,-0.50255,4.11
418,577463.225592,0.28328,-0.82683,-0.48591,6.72
419,577463.229363,0.29402,-0.8467,-0.44345,5.89
420,577463.2333,0.30435,-0.86197,-0.40544,5.2
421,577463.237871,0.30225,-0.87518,-0.37777,4.73
422,577463.241042,0.30688,-0.88056,-0.36116,4.28
423,577463.257622,0.305,-0.87535,-0.37514,3.95
424,577463.260896,0.30528,-0.86887,-0.38972,3.46
425,577463.265562,0.30392,-0.86364,-0.40219,3.58
426,577463.26946,0.31293,-0.85343,-0.41681,4.1
427,577463.277571,0.32249,-0.847,-0.4226,4.36
428,577463.281407,0.31984,-0.8485,-0.42161,4.99
429,577463.285298,0.32554,-0.84684,-0.42057,5.08
430,577463.289564,0.33911,-0.8457,-0.41206,4.22
431,577463.293437,0.34623,-0.83985,-0.41807,5.09
432,577463.301406,0.36006,-0.83716,-0.41174,6.31
433,577463.3054,0.37045,-0.83588,-0.40505,6.3
434,577463.309068,0.38286,-0.83351,-0.39834,6.19
435,577463.314002,0.40622,-0.82862,-0.3852,6.25
436,577463.318287,0.42429,-0.82053,-0.38303,5.76
437,577463.322171,0.44292,-0.80995,-0.38444,5.99
438,577463.33023,0.44327,-0.80728,-0.38962,4.72
439,577463.342313,0.43518,-0.80482,-0.4036,4.43
440,577463.345388,0.42122,-0.80926,-0.40948,4.93
441,577463.354239,0.40456,-0.80989,-0.42475,3.76
442,577463.357683,0.37961,-0.81283,-0.44181,3.4
443,577463.361165,0.36984,-0.81604,-0.44418,3.32
444,577463.366475,0.3591,-0.81984,-0.446,2.94
445,577463.369746,0.34996,-0.82507,-0.44361,2.87
446,577463.377322,0.34576,-0.82914,-0.43929,2.21
447,577463.382277,0.34446,-0.8327,-0.43355,1.72
448,577463.385306,0.32103,-0.83909,-0.43916,4.08
449,577463.389836,0.31928,-0.83378,-0.45041,5.54
450,577463.393988,0.32896,-0.82447,-0.46046,5.32
451,577463.39718,0.33594,-0.81946,-0.46436,5.5
452,577463.406478,0.33879,-0.8164,-0.46767,5.36
453,577463.409333,0.33808,-0.822,-0.45827,5.56
454,577463.41364,0.33853,-0.82147,-0.45889,3.29
455,577463.430316,0.31372,-0.82299,-0.47357,3.95
456,577463.43398,0.2957,-0.82628,-0.4794,3.74
457,577463.437421,0.27507,-0.83356,-0.47907,4.61
458,577463.44204,0.27336,-0.83582,-0.47611,5.24
