# generated, 2026-08-15T22:04:08+00:00
# source, camera:0
# radius_mm, 10.2446
# axial, True
# fps_measured, 120.3796171216232
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
63,664711.381331,664711.381331,1.1336,3.4923,22.0377,50.8452,103.6686,10.3085,-0.183241,0.753482,-0.631417,0.4133,-0.6782,3.9649,621.329,445.750,1409.534,781.404,10.309,518794.0,41.6636,106.459,2,0.055,9.2326,0.4489,9.6815
64,664711.392539,664711.392539,1.1537,3.4995,22.0787,50.6650,103.9059,10.4704,-0.185883,0.750784,-0.633854,0.8440,-0.2770,3.2458,623.070,446.252,1406.146,783.510,10.470,518457.0,41.3590,106.071,2,0.257,11.5875,0.5143,12.1018
65,664711.406015,664711.406015,1.1369,3.4921,22.0443,50.8015,103.6400,10.2732,-0.182751,0.753105,-0.632008,0.2283,-0.2111,-0.1150,621.417,445.662,1408.922,781.990,10.273,518211.0,41.7493,106.369,2,0.247,17.4855,0.8488,18.3343
66,664711.415146,664711.415146,1.1350,3.4938,22.0402,50.8545,103.7516,10.3817,-0.184357,0.753314,-0.631292,-0.0625,-0.0995,-0.9831,621.649,445.936,1409.412,781.201,10.382,518487.0,41.5054,106.472,2,0.101,19.1637,0.8297,19.9934
67,664711.443664,664711.443664,1.9684,3.6405,23.5569,43.3025,111.5474,14.7318,-0.251892,0.637918,-0.727743,29.5039,5.2882,66.2357,680.376,458.826,1294.670,866.470,14.732,518044.0,33.5309,89.785,2,9.457,16.3353,1.1396,17.4750
68,664711.463983,664711.463983,1.1481,3.4970,22.0779,50.6491,103.7689,10.3559,-0.184044,0.751056,-0.634069,-13.9709,-2.3780,-47.7869,622.272,445.948,1406.087,783.701,10.356,518187.0,41.6944,106.051,2,9.280,20.3010,0.4897,20.7907
69,664711.485631,664711.485631,1.9728,3.6357,23.5520,43.2347,112.5186,15.5441,-0.262339,0.632761,-0.728554,16.2026,2.6586,47.0913,682.964,459.430,1295.165,869.749,15.544,518024.0,33.7552,89.391,2,9.778,12.4675,0.4100,12.8775
70,664711.493835,664711.493835,1.2047,3.5099,22.1099,50.9013,102.5612,9.2155,-0.168780,0.757485,-0.630658,-4.6934,-0.7537,-13.2697,622.688,446.537,1404.436,775.526,9.216,518397.0,40.8287,106.817,2,10.563,7.7300,0.5146,8.2447
71,664711.509555,664711.509555,1.1491,3.4953,22.0667,50.7275,103.7509,10.3456,-0.184015,0.751956,-0.633009,-12.7747,-2.2492,-25.6860,622.412,445.909,1407.148,782.687,10.346,518360.0,41.6064,106.207,2,0.938,7.2480,0.4029,7.6510
72,664711.517458,664711.517458,1.9756,3.6424,23.5636,43.2679,111.5165,14.6845,-0.251388,0.637646,-0.728156,9.4790,1.6922,31.6201,680.674,458.920,1294.211,866.659,14.684,517497.0,33.6613,89.727,2,9.365,11.6496,0.4347,12.0842
73,664711.525811,664711.525811,1.1350,3.4938,22.0402,50.8545,103.7516,10.3817,-0.184357,0.753314,-0.631292,-4.5064,-0.7811,-9.9091,621.649,445.936,1409.412,781.201,10.382,518066.0,41.5054,106.472,2,9.470,8.2677,0.6491,8.9169
74,664711.534586,664711.534586,1.1382,3.4936,22.0468,50.8106,103.7231,10.3465,-0.183868,0.752936,-0.631886,-9.5366,-1.6919,-20.9565,621.736,445.848,1408.798,781.789,10.346,517915.0,41.5911,106.382,2,0.049,10.5351,0.4302,10.9653
