index,t_capture,skew_s,t_a,t_b
39768,585385.293972,0.008379,585385.289782,585385.298161
39769,585385.296789,0.007719,585385.292929,585385.300648
39770,585385.302759,0.002540,585385.301490,585385.304029
39771,585385.307018,0.004520,585385.304758,585385.309278
39772,585385.311105,0.005458,585385.308376,585385.313834
39773,585385.317148,0.008011,585385.313143,585385.321154
39774,585385.320754,0.007176,585385.317166,585385.324342
39775,585385.327203,0.003824,585385.325291,585385.329115
39776,585385.330712,0.004567,585385.328428,585385.332995
39777,585385.334507,0.004443,585385.332286,585385.336729
39778,585385.338994,0.002903,585385.337543,585385.340446
39779,585385.345404,0.008349,585385.341229,585385.349579
39780,585385.350545,0.003394,585385.348848,585385.352242
39781,585385.355638,0.005169,585385.353054,585385.358223
39782,585385.359355,0.004046,585385.357332,585385.361378
39783,585385.362443,0.003883,585385.360502,585385.364384
39784,585385.369393,0.008264,585385.365261,585385.373525
39785,585385.373125,0.007874,585385.369188,585385.377061
39786,585385.381429,0.007251,585385.377804,585385.385055
39787,585385.384662,0.003988,585385.382669,585385.386656
39788,585385.387666,0.002561,585385.386385,585385.388946
39789,585385.394114,0.007829,585385.390199,585385.398029
39790,585385.397127,0.007209,585385.393522,585385.400731
39791,585385.402700,0.005192,585385.400105,585385.405296
39792,585385.406279,0.003631,585385.404463,585385.408094
39793,585385.410674,0.003738,585385.408805,585385.412543
39794,585385.414611,0.002615,585385.413304,585385.415918
39795,585385.420973,0.008842,585385.416552,585385.425394
39796,585385.426978,0.004923,585385.424517,585385.429440
39797,585385.430793,0.004206,585385.428690,585385.432896
39798,585385.434746,0.005335,585385.432078,585385.437413
39799,585385.438700,0.004209,585385.436595,585385.440804
39800,585385.445066,0.009702,585385.440214,585385.449917
39801,585385.448987,0.006741,585385.445617,585385.452358
39802,585385.455451,0.004440,585385.453231,585385.457670
39803,585385.459220,0.002727,585385.457856,585385.460583
39804,585385.462396,0.005106,585385.459843,585385.464950
39805,585385.469065,0.009567,585385.464281,585385.473849
39806,585385.473667,0.009265,585385.469034,585385.478299
39807,585385.479772,0.004135,585385.477704,585385.481839
39808,585385.483604,0.003130,585385.482039,585385.485169
39809,585385.487594,0.006215,585385.484487,585385.490701
39810,585385.491514,0.002477,585385.490276,585385.492753
39811,585385.499204,0.011527,585385.493440,585385.504967
39812,585385.505128,0.001605,585385.504325,585385.505930
39813,585385.508115,0.000371,585385.507930,585385.508300
39814,585385.511825,0.005330,585385.509160,585385.514490
39815,585385.515453,0.002322,585385.514292,585385.516614
39816,585385.521177,0.007714,585385.517320,585385.525034
39817,585385.525357,0.007987,585385.521363,585385.529351
39818,585385.532266,0.007352,585385.528590,585385.535942
39819,585385.536722,0.003531,585385.534956,585385.538487
39820,585385.540322,0.003145,585385.538749,585385.541895
39821,585385.543232,0.002202,585385.542131,585385.544333
39822,585385.548671,0.007310,585385.545016,585385.552326
39823,585385.555190,0.004357,585385.553012,585385.557369
39824,585385.558587,0.003811,585385.556681,585385.560493
39825,585385.562286,0.004744,585385.559914,585385.564658
39826,585385.566649,0.002688,585385.565305,585385.567993
39827,585385.572530,0.007683,585385.568689,585385.576372
39828,585385.579225,0.004111,585385.577170,585385.581280
39829,585385.585707,0.006584,585385.582415,585385.588999
39830,585385.590359,0.000248,585385.590483,585385.590235
39831,585385.592647,0.000308,585385.592493,585385.592801
39832,585385.599177,0.011602,585385.593376,585385.604978
39833,585385.602390,0.006307,585385.599237,585385.605544
39834,585385.607274,0.003882,585385.605333,585385.609215
39835,585385.612072,0.005219,585385.609462,585385.614682
39836,585385.616440,0.002043,585385.615418,585385.617461
39837,585385.619282,0.003032,585385.617766,585385.620798
39838,585385.626537,0.012798,585385.620138,585385.632936
39839,585385.636592,0.003582,585385.634801,585385.638383
39840,585385.639099,0.007612,585385.635293,585385.642905
39841,585385.643552,0.000381,585385.643361,585385.643742
39842,585385.644781,0.000491,585385.644535,585385.645026
39843,585385.648429,0.005233,585385.645812,585385.651045
39844,585385.653463,0.003403,585385.651762,585385.655164
39845,585385.657682,0.003210,585385.656077,585385.659287
39846,585385.662224,0.004056,585385.660196,585385.664252
