# skew_n, 3232
# skew_median_ms, 1.0082090157084167
# skew_p95_ms, 8.434141619363798
# skew_max_ms, 28.510916978120804
# skew_dropped, 0
index,t_capture,skew_s,t_a,t_b
369,342574.410651,0.000954,342574.410174,342574.411127
370,342574.428375,0.001039,342574.427855,342574.428895
371,342574.451702,0.001789,342574.452597,342574.450808
372,342574.471616,0.009017,342574.476124,342574.467108
373,342574.490654,0.000956,342574.490176,342574.491132
374,342574.513277,0.001048,342574.513801,342574.512753
375,342574.537602,0.000988,342574.537108,342574.538096
376,342574.554658,0.001006,342574.555161,342574.554155
377,342574.580935,0.000817,342574.581343,342574.580526
378,342574.602530,0.000910,342574.602075,342574.602985
379,342574.618875,0.000644,342574.618553,342574.619197
380,342574.639646,0.008722,342574.644007,342574.635285
381,342574.666084,0.001365,342574.666766,342574.665401
382,342574.690527,0.000983,342574.690036,342574.691018
383,342574.708139,0.000803,342574.707737,342574.708540
384,342574.730666,0.001063,342574.730135,342574.731198
385,342574.751089,0.007234,342574.754706,342574.747473
386,342574.772290,0.000881,342574.772730,342574.771849
387,342574.795010,0.001031,342574.795526,342574.794494
388,342574.815366,0.006558,342574.818645,342574.812087
389,342574.835806,0.000669,342574.835471,342574.836140
390,342574.858497,0.001020,342574.857988,342574.859007
391,342574.882616,0.001087,342574.883159,342574.882073
392,342574.898563,0.001010,342574.898058,342574.899069
393,342574.922713,0.000847,342574.923137,342574.922289
394,342574.943083,0.007576,342574.939295,342574.946871
395,342574.963997,0.001493,342574.964744,342574.963251
396,342574.981906,0.009292,342574.977260,342574.986552
397,342575.007917,0.006295,342575.004770,342575.011065
398,342575.027187,0.000946,342575.026714,342575.027661
399,342575.051329,0.000940,342575.051800,342575.050859
400,342575.070231,0.007923,342575.074192,342575.066269
401,342575.093681,0.000263,342575.093812,342575.093549
402,342575.113604,0.001018,342575.113095,342575.114113
403,342575.131524,0.000208,342575.131420,342575.131628
404,342575.155470,0.001012,342575.155976,342575.154964
405,342575.179044,0.000889,342575.179488,342575.178599
406,342575.195077,0.000958,342575.194598,342575.195555
407,342575.215854,0.007829,342575.211939,342575.219768
408,342575.242698,0.000832,342575.242282,342575.243114
409,342575.262352,0.007638,342575.266171,342575.258534
410,342575.283698,0.000853,342575.284124,342575.283272
411,342575.307878,0.001001,342575.307377,342575.308378
412,342575.327052,0.007140,342575.323482,342575.330622
413,342575.346843,0.001335,342575.347511,342575.346176
414,342575.374001,0.001221,342575.373391,342575.374612
415,342575.387551,0.001222,342575.388162,342575.386940
416,342575.410756,0.000945,342575.410283,342575.411228
417,342575.435203,0.001353,342575.435879,342575.434526
418,342575.459126,0.000882,342575.458686,342575.459567
419,342575.476533,0.000918,342575.476992,342575.476074
420,342575.498820,0.000998,342575.498321,342575.499319
421,342575.520202,0.009588,342575.515408,342575.524996
422,342575.542823,0.006419,342575.546033,342575.539614
423,342575.562763,0.001034,342575.562246,342575.563280
424,342575.586210,0.000888,342575.585766,342575.586654
425,342575.610675,0.001057,342575.610146,342575.611204
426,342575.627460,0.000865,342575.627893,342575.627028
427,342575.650850,0.001071,342575.650314,342575.651385
428,342575.663758,0.007547,342575.659984,342575.667532
429,342575.690975,0.001213,342575.690369,342575.691582
430,342575.714297,0.001000,342575.713797,342575.714797
431,342575.739112,0.000922,342575.739573,342575.738651
432,342575.754603,0.000948,342575.754129,342575.755077
433,342575.773449,0.000752,342575.773825,342575.773073
434,342575.798779,0.006847,342575.802202,342575.795355
435,342575.820177,0.000850,342575.820602,342575.819752
436,342575.841827,0.001121,342575.842387,342575.841266
437,342575.866989,0.000660,342575.866659,342575.867319
438,342575.882586,0.000997,342575.883085,342575.882087
439,342575.907370,0.000908,342575.907824,342575.906917
440,342575.924233,0.001088,342575.923690,342575.924777
441,342575.947152,0.001174,342575.946565,342575.947739
442,342575.971487,0.001041,342575.970966,342575.972008
443,342575.990905,0.006034,342575.987888,342575.993922
444,342576.012104,0.000922,342576.011643,342576.012565
445,342576.034913,0.000809,342576.035318,342576.034509
446,342576.050700,0.001033,342576.051216,342576.050183
447,342576.074802,0.000916,342576.074344,342576.075260
448,342576.092749,0.001025,342576.092237,342576.093262
449,342576.115166,0.001254,342576.115793,342576.114539
450,342576.140075,0.001506,342576.140828,342576.139322
451,342576.155181,0.000922,342576.154720,342576.155642
452,342576.179697,0.000973,342576.179210,342576.180184
453,342576.203550,0.001279,342576.202911,342576.204190
454,342576.224029,0.003158,342576.225608,342576.222450
455,342576.238992,0.008934,342576.243459,342576.234524
456,342576.266616,0.001057,342576.267144,342576.266087
457,342576.286488,0.007729,342576.282624,342576.290352
458,342576.306710,0.000946,342576.306237,342576.307182
459,342576.330340,0.000932,342576.330806,342576.329875
460,342576.346781,0.001001,342576.347281,342576.346281
461,342576.371714,0.001274,342576.372351,342576.371076
462,342576.394457,0.000996,342576.394955,342576.393959
463,342576.414169,0.007841,342576.418090,342576.410249
464,342576.434570,0.000998,342576.435069,342576.434070
465,342576.458600,0.000837,342576.458181,342576.459018
466,342576.472239,0.008092,342576.476284,342576.468193
467,342576.498689,0.000983,342576.498197,342576.499180
468,342576.523272,0.000903,342576.523724,342576.522821
469,342576.542450,0.007810,342576.546355,342576.538545
470,342576.563558,0.000903,342576.563106,342576.564009
471,342576.582656,0.008759,342576.578276,342576.587035
