frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg_major,line_angle_deg_minor,longest_width_px,contour_area_px,final_combined_angle_deg,minor_len_px,top_ellipse_major_len_px,top_ellipse_minor_len_px,axis_x,axis_y,axis_z
154,5.240014897579144,True,267.44,404.47,0.9983,0.0583,3.34,85.24,135.59,2990.0,85.24,29.3,135.59,11.24,0.0828,0.0048,0.9966
155,5.274040968342645,True,267.7,404.45,0.9983,0.0581,3.33,84.62,135.53,2963.0,84.62,29.23,135.53,12.71,0.0936,0.0054,0.9956
156,5.308067039106145,True,269.41,404.5,0.9982,0.0606,3.48,84.91,136.48,2964.0,84.91,29.38,136.48,12.1,0.0885,0.0054,0.9961
157,5.342093109869646,True,270.67,404.56,0.9981,0.061,3.5,84.55,135.54,2955.0,84.55,29.47,135.54,12.88,0.0949,0.0058,0.9955
158,5.376119180633148,True,271.62,404.62,0.998,0.0625,3.59,84.45,135.61,2959.0,84.45,29.6,135.61,13.11,0.0965,0.006,0.9953
159,5.410145251396648,True,272.85,404.64,0.998,0.0637,3.65,84.49,135.62,2967.0,84.49,29.63,135.62,13.03,0.0959,0.0061,0.9954
160,5.444171322160149,True,273.27,404.68,0.9979,0.065,3.73,84.38,136.62,2977.0,84.38,29.65,136.62,13.37,0.0977,0.0064,0.9952
161,5.47819739292365,True,273.46,404.64,0.9979,0.0652,3.74,84.16,136.56,2977.0,84.16,29.68,136.56,13.89,0.1015,0.0066,0.9948
162,5.5122234636871505,True,273.86,404.74,0.9979,0.0653,3.75,84.44,135.63,2972.0,84.44,29.84,135.63,13.14,0.0967,0.0063,0.9953
163,5.546249534450652,True,273.3,404.72,0.9977,0.0679,3.89,84.85,136.7,2986.0,84.85,29.74,136.7,12.26,0.0895,0.0061,0.996
164,5.580275605214153,True,272.27,404.72,0.9976,0.0695,3.98,84.72,136.71,2978.0,84.72,29.75,136.71,12.57,0.0917,0.0064,0.9958
165,5.614301675977654,True,271.08,404.65,0.9975,0.0701,4.02,84.86,135.72,2943.0,84.86,29.64,135.72,12.17,0.0894,0.0063,0.996
166,5.648327746741154,True,270.09,404.74,0.9974,0.072,4.13,84.8,135.73,2943.0,84.8,29.82,135.73,12.31,0.0905,0.0065,0.9959
167,5.682353817504656,True,268.97,404.7,0.9974,0.0727,4.17,84.69,135.73,2916.0,84.69,29.76,135.73,12.57,0.0924,0.0067,0.9957
168,5.716379888268157,True,268.03,404.72,0.9974,0.0726,4.17,84.74,135.73,2913.0,84.74,29.79,135.73,12.44,0.0914,0.0067,0.9958
