frame,t,nx,ny,nz,agree_deg
397,607463.901864,0.43019,-0.76439,-0.48025,1.69
398,607463.905078,0.42734,-0.76495,-0.48191,1.14
399,607463.909567,0.43333,-0.77198,-0.46506,0.93
400,607463.912914,0.4367,-0.77211,-0.46167,1.05
401,607463.917294,0.43242,-0.77636,-0.45856,1.04
402,607463.920474,0.42997,-0.77764,-0.45869,1.23
403,607463.929373,0.42992,-0.77857,-0.45717,1.22
404,607463.933136,0.4256,-0.7821,-0.45517,1.09
405,607463.936902,0.42787,-0.78096,-0.455,0.94
406,607463.941214,0.42048,-0.78254,-0.45915,1.4
407,607463.944407,0.41395,-0.7814,-0.46698,1.4
408,607463.953057,0.40908,-0.78305,-0.46849,1.03
409,607463.957409,0.40548,-0.78054,-0.47576,1.31
410,607463.960725,0.40062,-0.77858,-0.48304,1.41
411,607463.965427,0.4015,-0.77553,-0.48719,1.38
412,607463.968509,0.40129,-0.77406,-0.48969,1.54
413,607463.982418,0.40608,-0.76879,-0.49402,1.06
414,607463.986283,0.4056,-0.76769,-0.49612,0.66
415,607463.988967,0.41264,-0.76187,-0.49928,1.43
416,607463.994013,0.41505,-0.75989,-0.5003,1.09
417,607463.996393,0.41824,-0.75799,-0.50052,1.27
418,607464.005734,0.41845,-0.75657,-0.50249,1.19
419,607464.009128,0.42288,-0.75513,-0.50095,1.33
420,607464.013437,0.42167,-0.75453,-0.50287,0.51
421,607464.016823,0.42367,-0.75196,-0.50503,1.07
422,607464.021071,0.42326,-0.75102,-0.50678,1.06
423,607464.028937,0.42499,-0.75149,-0.50462,1.03
424,607464.034119,0.4243,-0.75099,-0.50595,0.88
425,607464.037204,0.42313,-0.7503,-0.50796,1.08
426,607464.04113,0.42335,-0.74934,-0.50918,1.69
427,607464.044883,0.425,-0.74782,-0.51004,1.68
428,607464.04855,0.42673,-0.74674,-0.51017,1.61
429,607464.057769,0.42835,-0.7458,-0.5102,1.53
430,607464.066526,0.39558,-0.72815,-0.55975,1.59
431,607464.071114,0.37727,-0.7181,-0.58481,1.09
432,607464.072549,0.36969,-0.71223,-0.59671,1.38
433,607464.081779,0.36984,-0.70882,-0.60066,1.31
434,607464.086355,0.37225,-0.7083,-0.59979,1.88
435,607464.090271,0.37494,-0.71115,-0.59472,2.18
436,607464.09371,0.38489,-0.71417,-0.58465,3.15
437,607464.097136,0.39782,-0.72607,-0.56086,2.32
