frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
197,607462.857488,53.184,66,122.105,22.587,70.005,116.821,65.297,429.54,220.1,91.86,152.44,64.8
198,607462.861282,52.67,75,121.628,22.852,70.112,115.621,65.663,428.85,220.47,91.97,151.3,65.25
199,607462.864624,53.038,65,121.922,22.723,70.003,116.422,65.527,429.29,220.28,91.83,152.3,65.05
200,607462.874634,52.742,69,121.636,22.883,69.967,115.571,65.588,428.92,220.49,91.75,151.1,65.01
201,607462.880567,52.331,72,121.67,22.78,70.256,114.968,66.046,428.98,220.34,92.2,150.34,65.51
202,607462.884986,52.287,74,121.58,22.86,70.279,114.889,65.871,428.88,220.46,92.17,150.28,65.32
203,607462.892787,52.678,67,121.789,22.75,70.153,115.709,65.532,429.15,220.32,91.99,151.35,64.99
204,607462.896571,53.078,66,121.586,22.814,70.088,116.673,65.58,428.76,220.45,91.97,152.2,65.01
205,607462.900847,52.685,69,121.702,22.787,70.146,115.716,65.388,428.95,220.39,92.02,151.13,64.81
206,607462.909579,53.053,66,121.359,23.018,69.864,116.23,65.899,428.49,220.67,91.72,151.95,65.44
207,607462.912647,52.647,69,121.676,22.796,70.062,115.475,65.574,428.89,220.41,91.95,150.85,65.09
208,607462.916626,52.647,70,121.571,22.894,69.958,115.304,65.572,428.86,220.49,91.8,150.89,64.94
209,607462.920696,52.514,68,121.583,22.865,69.994,115.014,65.88,428.85,220.46,91.82,150.46,65.39
210,607462.924877,52.593,72,121.577,22.857,70.01,115.248,65.487,428.88,220.46,91.81,150.76,64.94
211,607462.932912,52.498,70,121.31,22.952,69.901,114.82,65.478,428.54,220.54,91.67,150.13,64.82
212,607462.936429,52.519,71,121.45,22.943,69.981,115.007,65.766,428.67,220.58,91.8,150.32,65.21
213,607462.941262,52.453,74,121.551,22.896,70.011,114.883,65.822,428.82,220.53,91.81,150.33,65.24
214,607462.944562,52.321,74,121.583,22.823,70.146,114.76,65.912,428.9,220.42,91.97,150.08,65.32
215,607462.948659,52.4,74,121.582,22.836,70.197,115.049,65.688,428.85,220.44,92.08,150.49,65.07
216,607462.961355,52.102,72,121.417,22.79,70.313,114.468,65.247,428.7,220.38,92.24,149.77,64.77
217,607462.965408,52.822,66,121.929,22.61,70.231,116.222,65.196,429.28,220.17,92.11,151.86,64.69
218,607462.969176,53.117,66,122.158,22.53,70.125,116.84,65.115,429.63,220.03,91.95,152.83,64.59
219,607462.972464,52.455,70,121.841,22.674,70.247,115.275,65.532,429.13,220.21,92.24,150.46,65.07
220,607462.977117,52.935,65,122.174,22.449,70.194,116.463,64.897,429.6,219.95,92.07,152.17,64.38
221,607462.985276,52.945,66,122.064,22.506,70.182,116.469,65.108,429.59,219.97,92.08,152.02,64.52
222,607462.989866,52.434,75,121.67,22.725,70.28,115.275,65.52,428.99,220.28,92.16,150.77,64.97
223,607462.992745,52.239,71,121.891,22.473,70.456,115.057,65.472,429.27,219.94,92.44,150.45,64.85
224,607462.99659,52.157,70,121.892,22.435,70.505,114.921,65.424,429.2,219.93,92.46,150.25,64.93
225,607463.00099,52.165,66,121.896,22.485,70.301,114.61,65.913,429.27,220.0,92.18,149.7,65.48
226,607463.009567,52.354,73,121.939,22.519,70.283,115.072,65.601,429.35,219.95,92.28,150.55,65.01
227,607463.012595,52.814,67,122.081,22.406,70.253,116.235,65.236,429.53,219.87,92.12,152.04,64.7
228,607463.016781,52.246,71,121.895,22.522,70.399,114.981,65.704,429.22,220.03,92.33,150.37,65.16
229,607463.020755,52.812,68,122.11,22.437,70.254,116.231,65.265,429.57,219.91,92.19,151.68,64.75
230,607463.025641,52.825,72,121.994,22.525,70.241,116.244,65.391,429.44,220.0,92.12,152.1,64.81
231,607463.028556,52.75,71,122.022,22.548,70.253,116.065,65.319,429.42,220.07,92.14,151.69,64.8
232,607463.03649,52.863,66,122.21,22.455,70.264,116.383,65.009,429.67,219.95,92.18,151.95,64.51
